command,mean,stddev,median,user,system,min,max
./main < ./68.txt,0.0011124761997762867,0.00024244208787983982,0.0010387904000000005,0.0012117757270693511,0.0003540626398210289,0.0008283849000000005,0.0035480849000000003
./main < ./69.txt,0.0011086692246220315,0.0002357489883374498,0.0010341549999999997,0.0011543798704103671,0.0003898196760259178,0.000842771,0.002933474
./main < ./70.txt,0.001107717988302301,0.00022855887025254528,0.00103005464,0.001262570120481928,0.00035199671412924433,0.0008311186400000001,0.00248369464
./main < ./71.txt,0.0011362738970569284,0.0002383856148168465,0.0010533113600000002,0.0009472667024704612,0.00047166332975295355,0.0008626513600000002,0.00273584936
./main < ./72.txt,0.0011126911893991408,0.0002171237431470068,0.0010450463599999999,0.0009597891630901299,0.0004427276824034336,0.00084240686,0.0024559698599999997
./main < ./73.txt,0.0011055570369197408,0.0002245094140947088,0.00104027532,0.0011570195444685477,0.00040110479392624766,0.00084155682,0.0025558728200000005
./main < ./74.txt,0.0011282788330288463,0.0002207106924307514,0.0010651034400000002,0.0009084940384615378,0.0004638474038461535,0.0008548364400000003,0.00225377444
./main < ./75.txt,0.001084868314719626,0.00022245229194271785,0.0010181133999999999,0.0010135796962616828,0.00043016308411214976,0.0008161059,0.0026382599
./main < ./76.txt,0.0010896117833507854,0.0002285499369416139,0.0010195883199999997,0.001020926282722514,0.00043706243455497365,0.0008345763199999997,0.00268949132
./main < ./77.txt,0.0011276191652976914,0.0002293190472162469,0.0010566664799999985,0.0010808900607533422,0.00042505419198055907,0.0008740404799999985,0.0027914874799999986
./main < ./78.txt,0.0011264753679661023,0.00021971410288515133,0.00105627144,0.0010988942372881355,0.000400389406779661,0.0008712194399999999,0.00255863944
./main < ./79.txt,0.0011371511463104328,0.00023220704383401471,0.0010597540000000002,0.0010348377353689574,0.0004420578880407125,0.0008819044999999999,0.0025271305
./main < ./80.txt,0.0011357962777777779,0.00025105435560910213,0.0010589665000000001,0.000971037568134172,0.0004868929559748426,0.0008395380000000003,0.0032241180000000006
./main < ./81.txt,0.0011201523324675317,0.00023192742034452093,0.0010438593000000002,0.001161812207792208,0.00040155008658008677,0.0008727188,0.0028003278000000003
